City_Name,Area_Name,Area_Type,Population,Industrial_Units,Commercial_Units,Waste_Source,Organic_Waste_kg,Plastic_Waste_kg,Metal_Waste_kg,Hazardous_Waste_kg,E_Waste_kg,Total_Waste_kg,Recycling_Rate_percent,Collection_Frequency_days,Air_Quality_Index,Waste_Category
Mumbai,Andheri,Semi-Urban,58408,29,343,Commercial,1890,1198,188,118,598,3992,32.61,3,72,Mixed
Mumbai,Powai,Industrial,106296,148,248,Commercial,4116,2175,1572,450,552,8865,77.01,2,132,Mixed
Meerut,Partapur,Semi-Urban,74995,105,24,Commercial,2471,2159,1383,562,40,6615,42.37,1,134,Non-Biodegradable
Meerut,Shastri Nagar,Semi-Urban,123017,68,201,Industrial,4228,2180,639,396,556,7999,21.81,1,90,Mixed
Pune,Pimpri-Chinchwad,Commercial,152810,22,92,Commercial,6459,3454,238,69,169,10389,52.68,3,103,Biodegradable
Pune,Pimpri-Chinchwad,Urban,90841,111,151,Industrial,1948,1557,1293,341,216,5355,74.06,1,117,Non-Biodegradable
Mumbai,Powai,Semi-Urban,120101,76,58,Residential,4653,1550,813,262,130,7408,33.02,3,137,Biodegradable
Delhi,Okhla Industrial Area,Commercial,27424,58,216,Industrial,1197,674,780,399,265,3315,73.2,3,119,Non-Biodegradable
Pune,Shivajinagar,Industrial,82650,44,127,Industrial,1737,1961,413,433,369,4913,34.34,2,116,Non-Biodegradable
Lucknow,Alambagh,Urban,86576,17,362,Commercial,3038,962,135,161,921,5217,47.73,1,93,Mixed
Delhi,Rohini,Semi-Urban,43415,97,64,Industrial,1128,1005,1239,820,220,4412,38.54,3,108,Non-Biodegradable
Meerut,Modipuram,Commercial,70014,82,232,Industrial,3451,933,429,338,1089,6240,77.21,3,112,Mixed
Lucknow,Gomti Nagar,Industrial,76450,79,457,Residential,2538,1970,951,635,1365,7459,64.02,3,120,Non-Biodegradable
Pune,Kothrud,Urban,190597,43,392,Commercial,9206,2007,232,214,1305,12964,79.45,3,114,Biodegradable
Delhi,Saket,Commercial,155167,149,327,Residential,6196,3177,1002,1430,643,12448,79.94,2,188,Mixed
Lucknow,Indira Nagar,Commercial,39774,104,485,Industrial,929,765,1284,556,1544,5078,77.15,3,156,Non-Biodegradable
Meerut,Shastri Nagar,Semi-Urban,124221,41,369,Commercial,3260,2363,406,381,1445,7855,66.21,1,114,Non-Biodegradable
Mumbai,Dadar,Industrial,84583,66,113,Residential,3495,1037,417,408,185,5542,77.7,2,97,Biodegradable
Lucknow,Indira Nagar,Urban,98452,133,380,Residential,4860,2376,1808,759,761,10564,37.97,1,171,Mixed
Pune,Hinjewadi,Semi-Urban,100215,88,286,Industrial,4426,1509,510,715,1385,8545,77.23,1,117,Mixed
Mumbai,Bandra,Semi-Urban,34922,57,448,Commercial,868,632,522,448,1209,3679,71.49,2,111,Non-Biodegradable
Lucknow,Indira Nagar,Semi-Urban,173503,15,58,Industrial,3655,3443,217,130,126,7571,55.77,3,93,Non-Biodegradable
Pune,Kothrud,Industrial,81451,117,324,Industrial,2496,2155,1031,378,1473,7533,49.83,3,152,Non-Biodegradable
Meerut,Partapur,Industrial,172859,75,457,Commercial,5989,3406,1100,335,1209,12039,79.38,2,133,Mixed
Meerut,Shastri Nagar,Industrial,127729,21,323,Industrial,2836,1432,128,87,1133,5616,46.3,1,84,Mixed
Delhi,Okhla Industrial Area,Semi-Urban,22174,84,266,Industrial,917,602,889,666,909,3983,53.55,3,123,Non-Biodegradable
Mumbai,Dadar,Semi-Urban,173491,26,20,Residential,4750,2010,259,157,43,7219,49.36,3,76,Biodegradable
Delhi,Saket,Industrial,46078,136,48,Commercial,2171,1122,1557,647,74,5571,65.41,2,163,Mixed
Meerut,Modipuram,Commercial,89709,81,375,Industrial,3969,1011,592,577,581,6730,60.71,2,100,Mixed
Pune,Hinjewadi,Commercial,173195,87,352,Industrial,5191,5003,988,627,1658,13467,30.9,2,113,Non-Biodegradable
Lucknow,Alambagh,Semi-Urban,130436,134,275,Residential,5741,3546,955,812,738,11792,23.28,3,164,Mixed
Meerut,Partapur,Commercial,138546,48,363,Commercial,4838,1672,486,354,1114,8464,35.88,2,105,Mixed
Lucknow,Alambagh,Commercial,118491,142,473,Residential,5134,3272,1139,575,1869,11989,74.73,2,131,Non-Biodegradable
Pune,Hinjewadi,Commercial,141273,31,102,Residential,3856,3222,176,282,146,7682,30.14,1,74,Mixed
Pune,Hinjewadi,Semi-Urban,134694,42,104,Residential,3544,1553,541,286,431,6355,75.2,1,117,Mixed
Mumbai,Andheri,Commercial,194166,134,197,Residential,4445,4613,715,466,913,11152,53.42,2,158,Non-Biodegradable
Mumbai,Dadar,Industrial,152341,118,363,Industrial,3176,1897,849,1038,777,7737,66.86,3,157,Mixed
Mumbai,Powai,Semi-Urban,111987,81,159,Commercial,2443,1687,591,658,556,5935,62.83,2,105,Mixed
Meerut,Shastri Nagar,Commercial,84292,44,358,Commercial,2462,1300,399,413,688,5262,58.87,3,77,Mixed
Pune,Hinjewadi,Commercial,185903,82,301,Residential,5163,4828,708,561,358,11618,44.91,2,125,Non-Biodegradable
Delhi,Rohini,Urban,136360,98,155,Industrial,4853,2171,936,320,526,8806,20.03,3,127,Mixed
Meerut,Ganga Nagar,Industrial,23223,72,387,Residential,1121,309,668,684,1523,4305,38.17,1,121,Non-Biodegradable
Lucknow,Gomti Nagar,Industrial,177847,63,478,Residential,6679,3398,780,547,2250,13654,69.58,3,125,Mixed
Delhi,Okhla Industrial Area,Semi-Urban,176750,60,150,Commercial,6402,4976,633,258,558,12827,20.83,1,120,Mixed
Meerut,Partapur,Urban,161704,104,416,Industrial,3970,2683,1509,334,1710,10206,30.88,3,128,Non-Biodegradable
Mumbai,Bandra,Commercial,39494,134,371,Industrial,1041,500,1284,781,675,4281,31.29,3,138,Non-Biodegradable
Lucknow,Indira Nagar,Commercial,174534,54,420,Commercial,3845,5221,336,185,1602,11189,77.66,1,89,Non-Biodegradable
Mumbai,Dadar,Industrial,142472,149,475,Commercial,6566,3898,896,799,1429,13588,48.53,2,133,Mixed
Lucknow,Charbagh,Semi-Urban,118911,90,89,Residential,5286,1691,527,513,407,8424,45.72,3,113,Biodegradable
Lucknow,Charbagh,Urban,194044,61,323,Industrial,5415,2992,318,231,1270,10226,42.69,3,89,Mixed
Lucknow,Indira Nagar,Commercial,120346,23,302,Industrial,4884,3264,168,152,716,9184,59.53,1,88,Mixed
Mumbai,Dadar,Industrial,186402,113,235,Residential,4629,3983,1113,439,746,10910,32.03,1,112,Non-Biodegradable
Meerut,Modipuram,Commercial,87481,66,228,Industrial,3102,1425,888,404,319,6138,74.1,1,101,Mixed
Meerut,Ganga Nagar,Commercial,132323,42,52,Commercial,2852,3821,511,288,126,7598,29.55,1,87,Non-Biodegradable
Mumbai,Bandra,Commercial,187923,36,96,Commercial,9375,3204,378,334,116,13407,29.82,1,78,Biodegradable
Pune,Pimpri-Chinchwad,Semi-Urban,85241,65,263,Commercial,2833,2263,836,524,586,7042,75.61,2,130,Non-Biodegradable
Pune,Kothrud,Semi-Urban,44969,15,97,Commercial,1641,545,98,66,416,2766,58.84,1,77,Mixed
Pune,Hinjewadi,Commercial,43764,87,28,Residential,950,1000,512,667,96,3225,21.18,3,149,Mixed
Pune,Hinjewadi,Semi-Urban,96642,92,254,Residential,4115,1268,542,538,438,6901,48.53,1,130,Mixed
Meerut,Partapur,Urban,58054,33,265,Commercial,1635,928,266,122,577,3528,63.73,2,79,Non-Biodegradable
Meerut,Modipuram,Urban,74653,5,267,Industrial,2557,1985,29,32,1157,5760,66.21,1,55,Non-Biodegradable
Delhi,Dwarka,Industrial,122676,84,125,Industrial,5033,2232,593,814,328,9000,63.01,1,105,Mixed
Meerut,Shastri Nagar,Semi-Urban,43749,59,383,Commercial,1012,1058,826,336,1134,4366,46.47,3,113,Non-Biodegradable
Mumbai,Bandra,Semi-Urban,99267,108,238,Commercial,4275,2891,946,1001,436,9549,23.79,2,153,Mixed
Mumbai,Andheri,Commercial,182548,47,430,Residential,4974,3426,319,263,1915,10897,71.36,1,90,Non-Biodegradable
Lucknow,Gomti Nagar,Urban,126353,40,238,Commercial,4818,3709,562,275,675,10039,27.77,2,115,Mixed
Mumbai,Bandra,Urban,39325,84,80,Commercial,1381,401,732,774,216,3504,25.47,3,116,Mixed
Delhi,Dwarka,Urban,193352,68,483,Commercial,7460,3869,680,493,2406,14908,34.88,2,135,Mixed
Delhi,Okhla Industrial Area,Urban,21972,39,375,Commercial,1046,528,210,298,1626,3708,25.74,1,103,Non-Biodegradable
Meerut,Modipuram,Urban,89067,67,97,Industrial,2119,1615,528,648,121,5031,73.09,1,115,Mixed
Pune,Kothrud,Industrial,54952,66,290,Residential,1742,1394,898,268,1003,5305,50.79,1,107,Non-Biodegradable
Pune,Pimpri-Chinchwad,Commercial,155098,127,188,Industrial,4269,3858,1483,1028,672,11310,31.21,1,150,Non-Biodegradable
Meerut,Partapur,Urban,106438,28,70,Industrial,3139,1117,391,275,168,5090,53.62,2,112,Biodegradable
Pune,Shivajinagar,Semi-Urban,183900,84,222,Commercial,3912,4391,705,354,675,10037,21.75,3,110,Non-Biodegradable
Delhi,Saket,Commercial,42095,41,20,Commercial,2042,616,508,341,81,3588,75.47,1,107,Mixed
Mumbai,Bandra,Urban,45857,8,348,Residential,1720,1339,97,55,827,4038,64.98,1,97,Non-Biodegradable
Mumbai,Andheri,Semi-Urban,144527,99,298,Residential,4839,3033,1006,907,998,10783,39.4,2,121,Mixed
Pune,Shivajinagar,Semi-Urban,88111,133,462,Industrial,3446,983,728,875,1015,7047,40.79,1,172,Mixed
Meerut,Ganga Nagar,Commercial,48053,125,464,Residential,1806,860,1464,582,2038,6750,37.55,1,165,Non-Biodegradable
Mumbai,Bandra,Semi-Urban,94185,30,170,Industrial,2657,2151,284,280,697,6069,40.35,1,77,Non-Biodegradable
Delhi,Saket,Semi-Urban,113686,67,230,Industrial,5525,3315,847,206,1009,10902,48.57,1,100,Mixed
Delhi,Dwarka,Industrial,97578,104,326,Commercial,3577,2020,1003,871,1482,8953,69.79,2,139,Non-Biodegradable
Mumbai,Bandra,Commercial,51895,88,249,Commercial,2590,560,1196,550,536,5432,64.0,2,137,Mixed
Delhi,Saket,Industrial,74201,129,339,Residential,2660,1189,1697,626,1651,7823,39.51,1,125,Non-Biodegradable
Meerut,Ganga Nagar,Semi-Urban,99861,81,196,Residential,4409,2818,723,260,208,8418,56.15,1,129,Mixed
Delhi,Rohini,Semi-Urban,71413,114,480,Residential,3133,1618,638,702,1244,7335,47.45,2,114,Mixed
Meerut,Shastri Nagar,Commercial,35158,123,286,Residential,1574,881,661,1053,1034,5203,56.3,3,169,Mixed
Delhi,Okhla Industrial Area,Urban,24631,107,37,Commercial,683,359,1416,472,167,3097,32.86,3,118,Non-Biodegradable
Delhi,Okhla Industrial Area,Commercial,48085,55,87,Industrial,1536,625,526,446,213,3346,29.74,3,95,Mixed
Mumbai,Andheri,Urban,181023,71,341,Industrial,4009,3615,862,705,758,9949,45.91,2,139,Non-Biodegradable
Pune,Pimpri-Chinchwad,Industrial,124034,56,336,Commercial,5888,2487,407,356,585,9723,70.33,1,119,Biodegradable
Lucknow,Indira Nagar,Commercial,69843,141,183,Industrial,2846,1384,1295,1363,288,7176,51.27,2,163,Mixed
Meerut,Shastri Nagar,Urban,22235,130,354,Residential,854,256,1518,600,670,3898,24.76,3,147,Non-Biodegradable
Pune,Shivajinagar,Commercial,173923,64,142,Residential,6069,3265,582,308,192,10416,68.4,3,130,Mixed
Pune,Pimpri-Chinchwad,Commercial,63381,86,55,Residential,1423,1516,607,315,213,4074,43.62,3,97,Non-Biodegradable
Mumbai,Bandra,Semi-Urban,72271,13,327,Residential,3169,1581,120,49,995,5914,76.97,1,92,Mixed
Meerut,Ganga Nagar,Semi-Urban,32174,111,90,Industrial,1595,352,1197,388,190,3722,62.11,2,156,Mixed
Mumbai,Andheri,Industrial,72704,69,327,Commercial,2659,1999,514,399,1253,6824,61.22,2,129,Non-Biodegradable
Delhi,Okhla Industrial Area,Commercial,83478,83,440,Commercial,1967,2390,420,561,1817,7155,73.33,2,143,Non-Biodegradable
Pune,Hinjewadi,Industrial,166926,97,439,Residential,4287,3135,1426,337,799,9984,50.45,1,130,Non-Biodegradable
Pune,Hinjewadi,Commercial,187849,37,186,Industrial,8273,4503,460,195,318,13749,20.86,1,79,Biodegradable
Lucknow,Gomti Nagar,Industrial,120745,50,348,Industrial,4275,3238,636,300,458,8907,64.24,1,107,Mixed
Meerut,Ganga Nagar,Commercial,115841,37,424,Commercial,5629,1673,297,323,1405,9327,21.66,3,89,Biodegradable
Lucknow,Alambagh,Urban,76693,101,490,Residential,1571,1570,673,877,495,5186,25.95,3,122,Non-Biodegradable
Meerut,Shastri Nagar,Commercial,156827,111,202,Residential,5610,2349,856,378,977,10170,29.65,3,134,Mixed
Delhi,Dwarka,Urban,36168,147,61,Residential,1498,467,1262,1409,192,4828,55.43,2,154,Hazardous
Meerut,Shastri Nagar,Commercial,131692,37,42,Commercial,4692,3343,461,334,170,9000,71.15,3,108,Mixed
Meerut,Modipuram,Commercial,120056,74,462,Residential,3609,2436,455,299,600,7399,30.52,1,138,Mixed
Lucknow,Indira Nagar,Urban,105331,72,273,Commercial,4364,1789,495,665,650,7963,32.33,3,122,Mixed
Lucknow,Gomti Nagar,Commercial,165692,12,473,Residential,5890,3509,174,100,1841,11514,72.7,2,74,Mixed
Meerut,Shastri Nagar,Industrial,55446,81,299,Industrial,2150,1451,1078,766,1272,6717,37.1,1,124,Non-Biodegradable
Meerut,Partapur,Industrial,125469,110,311,Industrial,3728,3090,1109,469,942,9338,43.19,1,122,Non-Biodegradable
Mumbai,Powai,Commercial,98521,22,491,Industrial,4679,2915,300,133,1944,9971,50.82,2,87,Non-Biodegradable
Delhi,Dwarka,Commercial,197000,20,160,Commercial,5093,4632,210,179,387,10501,47.26,3,90,Mixed
Lucknow,Alambagh,Urban,40048,114,232,Industrial,1636,1129,1445,1095,524,5829,36.01,1,135,Non-Biodegradable
Pune,Pimpri-Chinchwad,Commercial,150062,34,50,Residential,3665,1790,504,327,235,6521,79.22,1,93,Mixed
Meerut,Modipuram,Urban,146185,14,223,Industrial,6256,3889,77,135,1070,11427,77.31,2,73,Mixed
Mumbai,Bandra,Urban,32618,78,264,Commercial,1553,408,791,587,296,3635,65.57,3,127,Mixed
Lucknow,Alambagh,Urban,182090,106,66,Residential,8165,5393,556,1038,85,15237,55.49,1,135,Mixed
Lucknow,Gomti Nagar,Semi-Urban,65724,71,145,Industrial,1701,1864,848,228,184,4825,46.17,2,93,Non-Biodegradable
Delhi,Saket,Commercial,59299,11,474,Commercial,1610,888,60,98,931,3587,24.52,3,80,Non-Biodegradable
Meerut,Modipuram,Urban,99846,143,499,Residential,3735,1346,967,773,1140,7961,45.86,1,138,Mixed
Delhi,Saket,Semi-Urban,184444,56,195,Commercial,9026,3708,306,301,228,13569,75.61,2,126,Biodegradable
Lucknow,Charbagh,Commercial,46007,136,136,Residential,1344,595,1174,753,284,4150,44.26,1,149,Mixed
Pune,Hinjewadi,Urban,159457,87,173,Residential,7909,2199,720,667,522,12017,39.24,3,140,Biodegradable
Mumbai,Andheri,Semi-Urban,60400,95,397,Commercial,2491,1091,1128,927,1094,6731,33.38,1,148,Mixed
Delhi,Dwarka,Industrial,159894,31,484,Residential,7847,1958,178,114,1506,11603,70.3,2,116,Biodegradable
Meerut,Modipuram,Industrial,172241,119,233,Commercial,4296,3296,1029,920,534,10075,38.75,3,125,Mixed
Mumbai,Dadar,Industrial,67657,14,24,Commercial,1841,1312,142,80,91,3466,49.52,1,86,Mixed
Lucknow,Alambagh,Industrial,95817,9,392,Residential,3645,1960,69,61,995,6730,35.96,1,89,Mixed
Delhi,Rohini,Industrial,162344,20,397,Residential,6216,3244,272,172,1624,11528,20.43,3,82,Mixed
Pune,Kothrud,Urban,182475,27,447,Residential,4103,2480,331,252,536,7702,70.53,1,68,Mixed
Lucknow,Gomti Nagar,Industrial,157048,73,487,Industrial,4510,4706,470,226,691,10603,37.38,2,90,Non-Biodegradable
Delhi,Okhla Industrial Area,Industrial,76670,141,374,Residential,3786,1258,1998,1041,960,9043,76.84,3,180,Mixed
Pune,Kothrud,Semi-Urban,152298,54,393,Residential,6213,2826,352,401,1100,10892,49.72,3,111,Mixed
Mumbai,Powai,Semi-Urban,158102,129,110,Residential,4485,3047,903,941,221,9597,31.98,3,173,Mixed
Lucknow,Alambagh,Industrial,149014,130,100,Industrial,4211,2531,885,763,432,8822,68.53,2,123,Mixed
Meerut,Partapur,Commercial,187455,70,101,Commercial,4202,4496,381,340,304,9723,22.24,3,126,Non-Biodegradable
Delhi,Rohini,Industrial,89751,59,211,Commercial,4259,1661,772,201,285,7178,41.32,3,116,Mixed
Mumbai,Dadar,Semi-Urban,79411,110,37,Commercial,2977,1356,1067,670,151,6221,52.43,3,112,Mixed
Lucknow,Charbagh,Industrial,99628,102,410,Residential,3097,1248,938,847,979,7109,22.23,3,109,Mixed
Lucknow,Alambagh,Industrial,50726,127,496,Commercial,2280,705,1173,859,757,5774,37.99,2,145,Mixed
Mumbai,Dadar,Semi-Urban,126278,93,152,Commercial,3520,2126,1320,874,515,8355,64.11,1,139,Mixed
Delhi,Rohini,Commercial,78719,12,331,Commercial,2339,1189,77,52,331,3988,66.73,1,65,Mixed
Lucknow,Charbagh,Urban,141038,49,86,Residential,3763,3938,549,249,95,8594,31.06,2,80,Non-Biodegradable
Mumbai,Dadar,Commercial,166776,8,93,Commercial,3654,3960,41,38,108,7801,31.56,1,100,Non-Biodegradable
Meerut,Partapur,Commercial,89397,120,430,Commercial,2953,1870,1234,1132,658,7847,43.57,1,135,Mixed
Mumbai,Dadar,Industrial,195277,46,372,Commercial,4800,2746,424,394,1349,9713,76.64,3,82,Mixed
Mumbai,Bandra,Semi-Urban,153580,111,388,Industrial,4477,4131,615,602,1678,11503,69.01,3,147,Non-Biodegradable
Delhi,Okhla Industrial Area,Urban,66288,48,77,Commercial,1500,1901,330,213,228,4172,32.79,1,107,Non-Biodegradable
Lucknow,Indira Nagar,Commercial,123488,11,213,Industrial,6139,1911,92,96,261,8499,24.38,2,87,Biodegradable
Delhi,Dwarka,Commercial,34587,29,166,Commercial,780,889,367,134,683,2853,74.65,2,95,Non-Biodegradable
Delhi,Dwarka,Commercial,42423,105,164,Residential,1950,998,1109,443,269,4769,36.74,2,122,Mixed
Delhi,Dwarka,Commercial,80409,111,22,Commercial,3587,846,1373,999,87,6892,26.39,3,122,Mixed
Delhi,Rohini,Commercial,158962,28,220,Industrial,4307,3443,401,180,863,9194,41.48,3,86,Non-Biodegradable
Lucknow,Charbagh,Industrial,46619,134,269,Commercial,2032,1192,933,540,530,5227,21.13,2,149,Non-Biodegradable
Delhi,Okhla Industrial Area,Semi-Urban,87534,37,184,Industrial,2003,1282,410,337,351,4383,37.15,1,80,Mixed
Pune,Kothrud,Semi-Urban,35084,45,374,Residential,1660,829,470,297,804,4060,47.22,1,76,Non-Biodegradable
Lucknow,Alambagh,Semi-Urban,199120,61,364,Commercial,9375,2815,655,476,1445,14766,47.8,1,99,Biodegradable
Meerut,Modipuram,Semi-Urban,109548,128,321,Industrial,3771,3035,1344,899,557,9606,79.13,1,165,Non-Biodegradable
Pune,Shivajinagar,Commercial,198088,16,111,Industrial,5095,4159,163,64,416,9897,74.63,1,87,Mixed
Meerut,Partapur,Semi-Urban,69146,132,242,Industrial,1957,803,1277,713,663,5413,22.93,3,151,Non-Biodegradable
Pune,Pimpri-Chinchwad,Semi-Urban,191651,5,292,Commercial,8656,3729,74,31,1114,13604,32.72,1,89,Biodegradable
Mumbai,Powai,Urban,59183,77,156,Residential,2727,1554,832,437,450,6000,34.1,2,99,Mixed
Meerut,Ganga Nagar,Urban,113367,106,375,Residential,4328,1767,1250,944,654,8943,41.64,3,120,Mixed
